"","loggerID","dateTime","DO_mgL","T_degC","P_mb","DO.sat","PAR","modelTime"
"61","467606",2021-08-26 04:40:00,7.31,16.038,849,8.23432843781977,0,4.66666666666667
"62","688268",2021-08-26 04:40:00,7.434,16.045,849,8.23309281287079,0,4.66666666666667
"63","736634",2021-08-26 04:41:00,7.502,15.978,849,8.24493284987481,0,4.68333333333333
"64","415148",2021-08-26 04:42:00,7.18,16.078,849,8.22727209658844,0,4.7
"65","488982",2021-08-26 04:44:00,7.399,16.214,849,8.20335958833406,0,4.73333333333333
"66","511686",2021-08-26 04:44:00,7.587,16.057,849,8.23097535425362,0,4.73333333333333
"67","701237",2021-08-26 04:44:00,7.659,15.958,849,8.24847297209838,0,4.73333333333333
"68","432269",2021-08-26 04:45:00,7.635,15.988,849,8.24316378682476,0,4.75
"69","497232",2021-08-26 04:46:00,7.555,16.055,849,8.2313281977644,0,4.76666666666667
"70","567371",2021-08-26 04:46:00,7.484,16.042,849,8.23362232664217,0,4.76666666666667
"71","728987",2021-08-26 04:46:00,7.471,16.016,849,8.23821394638021,0,4.76666666666667
"72","493593",2021-08-26 04:47:00,7.349,16.076,849,8.22762466202541,0,4.78333333333333
"73","648356",2021-08-26 04:47:00,7.598,16.219,849,8.20248277278213,0,4.78333333333333
"74","702726",2021-08-26 04:47:00,7.403,16.048,849,8.2325633587559,0,4.78333333333333
"75","739125",2021-08-26 04:48:00,7.469,16.05,849,8.23221042248371,0,4.8
"76","467606",2021-08-26 04:50:00,7.306,16.03,849,8.23574097848633,0,4.83333333333333
"77","688268",2021-08-26 04:50:00,7.443,16.028,849,8.23609417998455,0,4.83333333333333
"78","736634",2021-08-26 04:51:00,7.511,15.97,849,8.2463485792809,0,4.85
"79","415148",2021-08-26 04:52:00,7.178,16.078,849,8.22727209658844,0,4.86666666666667
"80","488982",2021-08-26 04:54:00,7.41,16.206,849,8.20476283478474,0,4.9
"81","511686",2021-08-26 04:54:00,7.586,16.075,849,8.22780095466983,0,4.9
"82","701237",2021-08-26 04:54:00,7.654,15.966,849,8.2470566037026,0,4.9
"83","432269",2021-08-26 04:55:00,7.638,15.979,849,8.24475591363928,0,4.91666666666667
"84","497232",2021-08-26 04:56:00,7.557,16.055,849,8.2313281977644,0,4.93333333333333
"85","567371",2021-08-26 04:56:00,7.496,16.025,849,8.23662403199226,0,4.93333333333333
"86","728987",2021-08-26 04:56:00,7.475,16.025,849,8.23662403199226,0,4.93333333333333
"87","493593",2021-08-26 04:57:00,7.347,16.085,849,8.22603832596605,0,4.95
"88","648356",2021-08-26 04:57:00,7.599,16.211,849,8.20388575648141,0,4.95
"89","702726",2021-08-26 04:57:00,7.409,16.065,849,8.22956424515005,0,4.95
"90","739125",2021-08-26 04:58:00,7.475,16.05,849,8.23221042248371,0,4.96666666666667
"91","467606",2021-08-26 05:00:00,7.311,16.038,849,8.23432843781977,0,5
"92","688268",2021-08-26 05:00:00,7.441,16.011,849,8.23909746449597,0,5
"93","736634",2021-08-26 05:01:00,7.497,15.987,849,8.24334066320355,0,5.01666666666667
"94","415148",2021-08-26 05:02:00,7.174,16.078,849,8.22727209658844,0,5.03333333333333
"95","488982",2021-08-26 05:04:00,7.399,16.223,849,8.20178143853934,0,5.06666666666667
"96","511686",2021-08-26 05:04:00,7.591,16.066,849,8.22938788631189,0,5.06666666666667
"97","701237",2021-08-26 05:04:00,7.657,15.975,849,8.24546369849811,0,5.06666666666667
"98","432269",2021-08-26 05:05:00,7.626,16.005,849,8.24015790538166,0,5.08333333333333
"99","497232",2021-08-26 05:06:00,7.553,16.072,849,8.22832987231109,0,5.1
"100","567371",2021-08-26 05:06:00,7.486,16.051,849,8.23203396428787,0,5.1
"101","728987",2021-08-26 05:06:00,7.47,16.033,849,8.23521122599215,0,5.1
"102","493593",2021-08-26 05:07:00,7.347,16.093,849,8.22462869924182,0,5.11666666666667
"103","648356",2021-08-26 05:07:00,7.595,16.219,849,8.20248277278213,0,5.11666666666667
"104","702726",2021-08-26 05:07:00,7.405,16.082,849,8.22656704511193,0,5.11666666666667
"105","739125",2021-08-26 05:08:00,7.473,16.05,849,8.23221042248371,0,5.13333333333333
"106","467606",2021-08-26 05:10:00,7.313,16.038,849,8.23432843781977,0,5.16666666666667
"107","688268",2021-08-26 05:10:00,7.44,16.011,849,8.23909746449597,0,5.16666666666667
"108","736634",2021-08-26 05:11:00,7.503,15.961,849,8.2479417840118,0,5.18333333333333
"109","415148",2021-08-26 05:12:00,7.179,16.078,849,8.22727209658844,0,5.2
"110","488982",2021-08-26 05:14:00,7.399,16.223,849,8.20178143853934,0,5.23333333333333
"111","511686",2021-08-26 05:14:00,7.597,16.057,849,8.23097535425362,0,5.23333333333333
"112","701237",2021-08-26 05:14:00,7.665,15.941,849,8.25148417036396,0,5.23333333333333
"113","432269",2021-08-26 05:15:00,7.634,16.005,849,8.24015790538166,0,5.25
"114","497232",2021-08-26 05:16:00,7.558,16.064,849,8.22974061060954,0,5.26666666666667
"115","567371",2021-08-26 05:16:00,7.484,16.06,849,8.23044613866809,0,5.26666666666667
"116","728987",2021-08-26 05:16:00,7.471,16.016,849,8.23821394638021,0,5.26666666666667
"117","493593",2021-08-26 05:17:00,7.348,16.067,849,8.22921153409472,0,5.28333333333333
"118","648356",2021-08-26 05:17:00,7.602,16.219,849,8.20248277278213,0,5.28333333333333
"119","702726",2021-08-26 05:17:00,7.412,16.065,849,8.22956424515005,0,5.28333333333333
"120","739125",2021-08-26 05:18:00,7.47,16.042,849,8.23362232664217,0,5.3
"121","467606",2021-08-26 05:20:00,7.316,16.03,849,8.23574097848633,0,5.33333333333333
"122","688268",2021-08-26 05:20:00,7.438,16.011,849,8.23909746449597,0,5.33333333333333
"123","736634",2021-08-26 05:21:00,7.503,15.987,849,8.24334066320355,0,5.35
